[0, 127]
[49280, 49343]
[49536, 49599]
[49792, 49855]
[50048, 50111]
[50304, 50367]
[50560, 50623]
[50816, 50879]
[51072, 51135]
[51328, 51391]
[51584, 51647]
[51840, 51903]
[52096, 52159]
[52352, 52415]
[52608, 52671]
[52864, 52927]
[53120, 53183]
[53376, 53439]
[53632, 53695]
[53888, 53951]
[54144, 54207]
[54400, 54463]
[54656, 54719]
[54912, 54975]
[55168, 55231]
[55424, 55487]
[55680, 55743]
[55936, 55999]
[56192, 56255]
[56448, 56511]
[56704, 56767]
[56960, 57023]
[57216, 57279]
[14712960, 14713023]
[14713216, 14713279]
[14713472, 14713535]
[14713728, 14713791]
[14713984, 14714047]
[14714240, 14714303]
[14714496, 14714559]
[14714752, 14714815]
[14715008, 14715071]
[14715264, 14715327]
[14715520, 14715583]
[14715776, 14715839]
[14716032, 14716095]
[14716288, 14716351]
[14716544, 14716607]
[14716800, 14716863]
[14717056, 14717119]
[14717312, 14717375]
[14717568, 14717631]
[14717824, 14717887]
[14718080, 14718143]
[14718336, 14718399]
[14718592, 14718655]
[14718848, 14718911]
[14719104, 14719167]
[14719360, 14719423]
[14719616, 14719679]
[14719872, 14719935]
[14720128, 14720191]
[14720384, 14720447]
[14720640, 14720703]
[14720896, 14720959]
[14721152, 14721215]
[14721408, 14721471]
[14721664, 14721727]
[14721920, 14721983]
[14722176, 14722239]
[14722432, 14722495]
[14722688, 14722751]
[14722944, 14723007]
[14723200, 14723263]
[14723456, 14723519]
[14723712, 14723775]
[14723968, 14724031]
[14724224, 14724287]
[14724480, 14724543]
[14724736, 14724799]
[14724992, 14725055]
[14725248, 14725311]
[14725504, 14725567]
[14725760, 14725823]
[14726016, 14726079]
[14726272, 14726335]
[14726528, 14726591]
[14726784, 14726847]
[14727040, 14727103]
[14727296, 14727359]
[14727552, 14727615]
[14727808, 14727871]
[14728064, 14728127]
[14728320, 14728383]
[14728576, 14728639]
[14728832, 14728895]
[14729088, 14729151]
[14778496, 14778559]
[14778752, 14778815]
[14779008, 14779071]
[14779264, 14779327]
[14779520, 14779583]
[14779776, 14779839]
[14780032, 14780095]
[14780288, 14780351]
[14780544, 14780607]
[14780800, 14780863]
[14781056, 14781119]
[14781312, 14781375]
[14781568, 14781631]
[14781824, 14781887]
[14782080, 14782143]
[14782336, 14782399]
[14782592, 14782655]
[14782848, 14782911]
[14783104, 14783167]
[14783360, 14783423]
[14783616, 14783679]
[14783872, 14783935]
[14784128, 14784191]
[14784384, 14784447]
[14784640, 14784703]
[14784896, 14784959]
[14785152, 14785215]
[14785408, 14785471]
[14785664, 14785727]
[14785920, 14785983]
[14786176, 14786239]
[14786432, 14786495]
[14786688, 14786751]
